"County Name","Census Tract","Score-Limited Access to Healthy Food Retailers","IBL Ranking"
"Yakima","53077002002","95","8"
"Yakima","53077002100","67","1"
"Yakima","53077002200","71","1"
"Yakima","53077002300","85","4"
"Yakima","53077002400","91","7"
"Yakima","53077002500","40","1"
"Yakima","53077002600","29","1"
"Yakima","53077002701","67","1"
"Yakima","53077002702","40","1"
"Yakima","53077002800","89","6"
"Yakima","53077002900","90","6"
"Yakima","53077003000","80","2"
"Yakima","53077003100","84","4"
"Yakima","53077003200","86","4"


"Limited Access to Healthy Food"
"Geography: Census Tract, Year: 2009"
"Created: 3/24/2023"

"""**"" indicates data suppression to protect confidentiality."

"""--"" indicates no data collected."

"""NR"" indicates data are not reliable."
